metric,direction,baseline_method,treatment_method,n,mean_difference,median_difference,standardized_paired_effect,cliffs_delta,permutation_p_value,pairing_unit,holm_adjusted_p_value_within_metric_family
mean_control_relative_tps,higher-is-better,random,bo_qlognehvi_multiobjective,5,0.07376641348306283,0.07172673154205828,5.620478441301157,1.0,0.0625,seed,0.625
mean_control_relative_tps,higher-is-better,sobol,bo_qlognei_throughput,5,0.07146470958067093,0.07196912254257219,29.479263659162033,1.0,0.0625,seed,0.625
mean_control_relative_tps,higher-is-better,sobol,bo_qlognparego_multiobjective,5,0.07141586080740198,0.07377004481270738,13.326551362102677,1.0,0.0625,seed,0.625
mean_control_relative_tps,higher-is-better,sobol,bo_qlognehvi_multiobjective,5,0.06467876301727127,0.06714790822738229,7.152225294989843,1.0,0.0625,seed,0.625
mean_control_relative_tps,higher-is-better,bo_qlognei_throughput,bo_qlognparego_multiobjective,5,-4.884877326895029e-05,-0.000122526568591904,-0.015114980226086582,-0.04,0.9375,seed,0.9375
mean_control_relative_tps,higher-is-better,bo_qlognei_throughput,bo_qlognehvi_multiobjective,5,-0.006785946563399661,-0.005717597524079347,-0.775281344603414,-0.28,0.125,seed,0.625
mean_control_relative_tps,higher-is-better,bo_qlognparego_multiobjective,bo_qlognehvi_multiobjective,5,-0.006737097790130711,-0.006763972076125946,-0.7421797856257769,-0.2,0.1875,seed,0.625
mean_control_relative_p99_ms,lower-is-better,random,sobol,5,0.06037618055556273,-0.12238406565657445,0.09867220918662238,-0.04,0.8125,seed,1.0
mean_control_relative_p99_ms,lower-is-better,random,bo_qlognei_throughput,5,-2.698729020265136,-2.5778523207070547,-3.2150836573238077,-1.0,0.0625,seed,0.625
mean_control_relative_p99_ms,lower-is-better,random,bo_qlognparego_multiobjective,5,-2.8338575099747296,-2.573292333333309,-2.938982040113779,-1.0,0.0625,seed,0.625
mean_control_relative_p99_ms,lower-is-better,random,bo_qlognehvi_multiobjective,5,-2.535667435353519,-2.611620301767598,-2.433591025446223,-1.0,0.0625,seed,0.625
mean_control_relative_p99_ms,lower-is-better,sobol,bo_qlognei_throughput,5,-2.7591052008206987,-2.534585561868686,-5.332736417316434,-1.0,0.0625,seed,0.625
mean_control_relative_p99_ms,lower-is-better,sobol,bo_qlognparego_multiobjective,5,-2.894233690530292,-3.01438485858586,-5.455483721680731,-1.0,0.0625,seed,0.625
mean_control_relative_p99_ms,lower-is-better,sobol,bo_qlognehvi_multiobjective,5,-2.5960436159090814,-3.0182034387626286,-3.0440083984729593,-1.0,0.0625,seed,0.625
mean_control_relative_p99_ms,lower-is-better,bo_qlognei_throughput,bo_qlognparego_multiobjective,5,-0.13512848970959343,-0.10827320580809152,-0.5910046211136728,-0.2,0.375,seed,1.0
mean_control_relative_p99_ms,lower-is-better,bo_qlognei_throughput,bo_qlognehvi_multiobjective,5,0.16306158491161696,0.19599372411616378,0.27604095569297266,-0.04,0.625,seed,1.0
mean_control_relative_p99_ms,lower-is-better,bo_qlognparego_multiobjective,bo_qlognehvi_multiobjective,5,0.2981900746212104,0.3042669299242553,0.5578359161019945,0.12,0.375,seed,1.0
